Dato  	 Undersøgt af  	Flokstruktur Form  Rund	Flokstruktur   Irregelær	Flokstruktur Struktur  Kompakt	Flokstruktur   Diffus	Flokstruktur Diversity  Lav	Flokstruktur   Høj	Flokstruktur Trådindex  0 - 5	Flokstruktur Flokstørrelse  mm	Flokstruktur Styrke  Fast	Flokstruktur   Svag	Bundfældningsegenskaber SV (30 min)  ml/l	Bundfældningsegenskaber FF  2, 4, 8	Bundfældningsegenskaber Aflæst  ml/l	Bundfældningsegenskaber FSV (30 min)  ml/l	Bundfældningsegenskaber TS (intern)  g/l	Bundfældningsegenskaber SS (ext)  g/l	Bundfældningsegenskaber SVI  ml/g	Bundfældningsegenskaber FSVI  ml/g	Bundfældningsegenskaber pH  	Bundfældningsegenskaber Temp. I luft-  bassin, oC	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet   < 10	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet  10-100	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet  > 100	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni   < 10	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni  10-100	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende  >100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  10 - 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  10 - 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal  > 100	Metazoer (flercellede) Rotifer (hjuldyr)   < 10	Metazoer (flercellede) Rotifer (hjuldyr)  10-100	Metazoer (flercellede) Rotifer (hjuldyr)  > 100	Metazoer (flercellede) Nematode (rundorm)   < 10	Metazoer (flercellede) Nematode (rundorm)  10-100	Metazoer (flercellede) Nematode (rundorm)  > 100	    Bemærkninger/konklusion til observationerne
2015-01-29	SK		x		x		x	1	0.08	x		550				1.6	2.7	204						x	x				x			x		x			x			0			0			0			Det er meget tyndt slam! SV30 = 550. TS=1,6 og SS = 2,7 g/l . TS-måleren virker ikke pt. Det er små flokke, men bundfældningen er ok. Meget få tråde TI=1 og ok med liv, når man tager det i betragtning af, hvor tyndt det er. Igen ses flere zoogloakolonier (har vi afvandingsproblemer?).
2014-12-16	SK		x		x		x	2.5	0.1	x		700	2	320	640	6.2	4.7	149	136					x	x				x				x	x					x	0			0			x			Fin bundfældning med SV30 = 700 - TS og SS er 6,2 og 4,7 g/l. Det begynder at se rigtig pænt ud og der er mange kompakte små flokke. Synes at trådindexet er lidt højere end sidst (TI =2,5). Fint med liv, mange krybende og fastsiddende ciliater. 
2014-11-25	SK		x		x		x	2	0.11	x		930	2	320	640	5.6	4.5	207	142					x	x				x			x			x				x	0			0			0			Ok bundfældning - den fortyndede falder fint. TS og SS er 5,6 og 4,5 g/l.  SVI er 207 ml/g. Der er flere pæne kompakte små flokke, men også diffuse med en del tråde. De fleste tråde er i flokkene, og der er mikrotrix imellem. Fint med liv - flest krybende ciliater.
2014-10-28	SK		x		x		x	2		x		630	2	500	1000	4	3.2	197	313																														Som den 7/10 ser det fint ud med fin bundfældning. Der er lidt færre trådbakt end sidst (TI = 2) og der er mange fine store kompakte slamflokke. Ikke voldsomt meget liv i form af større mikroorganismer - men måske fordi TS /SS er lav.
2014-10-07	SK+Kat		x		x		x	2.5	0.09	x		210	2	630	1260	6.7	5.1	41	247					x	x			x					x	x				x		x			0			x			Ser pænt ud med meget fin bundfældning SV på 210, TS = 6,7. Underligt nok var FSV meget højere end ikke fortyndet. FSV = 630!? Der var lidt flere trådbakt end i september. Pænt med liv, flest fastsiddende. 
2014-09-09	SK		x		x		x	2	0.13	x		660	2	210	420	4.7	3.8	174	111					x	x			x				x			x			x		x			x			0			Ser pænt ud med fin bundfældning SVI på 174, SS = 3,8 og ser ud som i august, hvor der ikke er mange trådbakt. Det billede vi så i juni var så nok ikke pga omstillingen af anlægget - som vi først troede. Søren har lige stillet om igen igår, og det vil vi ikke kunne nå at se i dag allerede. Pænt med liv, flest fastsiddende. 
2014-08-06	SK		x		x		x	2	0.12	x		520	4	100	400	5	3.8	137	105					x	x				x				x	x				x		0			0			x			Tilbage til et fint billede igen: Fin bundfældning SV på 520 ml/l - men der ligger stort lag på overfladen ved SV-måling. Fine store flokke og ikke mange trådbakterier (TI = 2). Der er fint med liv, flest fastsiddende ciliater.
2014-07-01	SK		x		x		x	4	0.1	x		910	2	500	1000	5.6	4.2	217	238					x	0				x			x			x			x		x			x			0			Ikke længere den fine bundfældning vi ellers har set længe. SVI=217. Med et slag er der kommet mange trådbakt. som ligner microtrix (TI = 4). Der er ændret driftform på NØ, så den nu ligner NV (bruger AS-tanke i serie - påbegyndt den 3/6). Det har ikke været problemer med at holde slammet i anlægget v regn! Fint med andet liv.
2014-06-03	SK	x	x	x	x		x	2	0.1	x		300	2	160	320	3	2.2	136	145					x	x				x			x			x			x		x			0			0			Flot bundfældning. Lidt tyndt slam, men med mange flotte kompakte runde flokke. Ikke så mange trådbakt. TI = 2. Fint med liv.
2014-05-20	SK											570	2	590	1180	6.3	5	114	236																														Nåede ikke at kigge i mikroskopet! FSV og SV hænger vist ikke helt sammen !!
2014-04-09	SK		x		x		x	1.75	0.12	x		820	2	220	440	5.4	4.3	191	102					x	x			x				x		x					x	x			0			0			"Meget flot bundfældning med trådtal som i marts (TI på 1,5-2). Og stadig en del ""fibre"". Der er fint med liv, flest krybende ciliater. Den grimme lugt vi observerede sidst er der ikke længere."
